,state,year,month,positiveIncrease,unemployment rate
0,CA,2020,03,7429,5.5
1,CA,2020,04,41435,16.4
2,CA,2020,05,61666,16.4
3,CA,2020,06,118149,14.9
4,CA,2020,07,264856,13.5
5,CA,2020,08,210497,11.2
6,CA,2020,09,98223,11.0
7,HI,2020,03,203,2.3
8,HI,2020,04,409,23.6
9,HI,2020,05,38,23.4
10,HI,2020,06,249,13.9
11,HI,2020,07,1089,13.5
12,HI,2020,08,6350,12.9
13,HI,2020,09,3679,15.3
14,NY,2020,03,75789,4.1
15,NY,2020,04,228577,15.3
16,NY,2020,05,66398,14.5
17,NY,2020,06,22684,15.6
18,NY,2020,07,21560,15.9
19,NY,2020,08,19742,12.5
20,NY,2020,09,20870,9.7
21,TX,2020,03,3265,5.1
22,TX,2020,04,24821,13.5
23,TX,2020,05,36200,13.0
24,TX,2020,06,95699,8.4
25,TX,2020,07,260960,8.0
26,TX,2020,08,192023,6.8
27,TX,2020,09,122163,8.3
